d_cm,density_r,doserate_Gy_s,ks,r_cm,sigma_cm
0.9,0.2533088183243241,2000.0,2.031239837335317,0.0,3.3
0.9,0.22354424756858,2000.0,1.936403765096794,1.65,3.3
0.9,0.1536395646892799,2000.0,1.7016084998078729,3.3,3.3
0.9,0.08223733287261978,2000.0,1.4224859429450198,4.949999999999998,3.3
0.9,0.03428162067425407,2000.0,1.1953178223727905,6.6,3.3
0.9,0.2533088183243241,800.0,1.5030460558889078,0.0,3.3
0.9,0.22354424756858,800.0,1.4517934369977408,1.65,3.3
0.9,0.1536395646892799,800.0,1.3292099986683974,3.3,3.3
0.9,0.08223733287261978,800.0,1.1878995195964832,4.949999999999998,3.3
0.9,0.03428162067425407,800.0,1.0831500761896868,6.6,3.3
0.9,0.2533088183243241,3000.0,2.3822008214364696,0.0,3.3
0.9,0.22354424756858,3000.0,2.263660649368146,1.65,3.3
0.9,0.1536395646892799,3000.0,1.956926434900248,3.3,3.3
0.9,0.08223733287261978,3000.0,1.5890729168203577,4.949999999999998,3.3
0.9,0.03428162067425407,3000.0,1.2819020445069762,6.6,3.3
0.9,0.2533088183243241,200.0,1.1472823603818136,0.0,3.3
0.9,0.22354424756858,200.0,1.13070013048205,1.65,3.3
0.9,0.1536395646892799,200.0,1.0924083742637325,3.3,3.3
0.9,0.08223733287261978,200.0,1.0505479050318898,4.949999999999998,3.3
0.9,0.03428162067425407,200.0,1.021553085463052,6.6,3.3
0.9,0.2533088183243241,55.0,1.043430212564591,0.0,3.3
0.9,0.22354424756858,55.0,1.0378989085857235,1.65,3.3
0.9,0.1536395646892799,55.0,1.0265330213411066,3.3,3.3
0.9,0.08223733287261978,55.0,1.0140829048800963,4.949999999999998,3.3
0.9,0.03428162067425407,55.0,1.0062672289827057,6.6,3.3
0.5,0.2533088183243241,800.0,1.0647465698913532,0.0,3.3
0.5,0.22354424756858,800.0,1.0572889647745194,1.65,3.3
0.5,0.1536395646892799,800.0,1.039596823997718,3.3,3.3
0.5,0.08223733287261978,800.0,1.0217728859407775,4.949999999999998,3.3
0.5,0.03428162067425407,800.0,1.009056326463131,6.6,3.3
0.5,0.2533088183243241,200.0,1.0169558441939657,0.0,3.3
0.5,0.22354424756858,200.0,1.0146979665199891,1.65,3.3
0.5,0.1536395646892799,200.0,1.0101208411168827,3.3,3.3
0.5,0.08223733287261978,200.0,1.0055524767023782,4.949999999999998,3.3
0.5,0.03428162067425407,200.0,1.0024994261171971,6.6,3.3
0.5,0.2533088183243241,55.0,1.0047679678619643,0.0,3.3
0.5,0.22354424756858,55.0,1.004152150253514,1.65,3.3
0.5,0.1536395646892799,55.0,1.0029456415408318,3.3,3.3
0.5,0.08223733287261978,55.0,1.0016960870463432,4.949999999999998,3.3
0.5,0.03428162067425407,55.0,1.0007136555663818,6.6,3.3
0.9,0.2533088183243241,500.0,1.3363375388934682,0.0,3.3
0.9,0.22354424756858,500.0,1.301222602851607,1.65,3.3
0.9,0.1536395646892799,500.0,1.2164149623789977,3.3,3.3
0.9,0.08223733287261978,500.0,1.121179708300492,4.949999999999998,3.3
0.9,0.03428162067425407,500.0,1.0520758960442895,6.6,3.3
0.5,0.2533088183243241,500.0,1.0408482458078732,0.0,3.3
0.5,0.22354424756858,500.0,1.0364079633889054,1.65,3.3
0.5,0.1536395646892799,500.0,1.0254794975139114,3.3,3.3
0.5,0.08223733287261978,500.0,1.0137594141352242,4.949999999999998,3.3
0.5,0.03428162067425407,500.0,1.0057534856160122,6.6,3.3
0.9,0.2533088183243241,1.0,1.0010568200454923,0.0,3.3
0.9,0.22354424756858,1.0,1.0009336553360413,1.65,3.3
0.9,0.1536395646892799,1.0,1.0007647525191283,3.3,3.3
0.9,0.08223733287261978,1.0,1.0004111849183088,4.949999999999998,3.3
0.9,0.03428162067425407,1.0,1.0004827553391338,6.6,3.3
0.9,0.2533088183243241,1000.0,1.5991849493410732,0.0,3.3
0.9,0.22354424756858,1000.0,1.543731433566641,1.65,3.3
0.9,0.1536395646892799,1000.0,1.3964519730902607,3.3,3.3
0.9,0.08223733287261978,1000.0,1.2299694198615092,4.949999999999998,3.3
0.9,0.03428162067425407,1000.0,1.1030714573887443,6.6,3.3
0.5,0.2533088183243241,3000.0,1.2256617727824881,0.0,3.3
0.5,0.22354424756858,3000.0,1.2004098684257876,1.65,3.3
0.5,0.1536395646892799,3000.0,1.1419487465921845,3.3,3.3
0.5,0.08223733287261978,3000.0,1.0786701734888673,4.949999999999998,3.3
0.5,0.03428162067425407,3000.0,1.0334810658315234,6.6,3.3
