E_MeV_u,LET_keV_um,a0_nm,beta,ks_Gauss,ks_Geiss,particle,scale,voltage_V,water_LET_keV_um
2.0,1.1273856017838932,4.5,0.0,1.1454871761015841,1.2406180332130994,neon,3.0,100.0,1082.4321135055063
2.0,1.1273856017838932,5.0,0.0,1.1454871761015841,1.2290560382157834,neon,3.0,100.0,1082.4321135055063
2.0,1.1273856017838932,5.5,0.0,1.1454871761015841,1.2144956884686229,neon,3.0,100.0,1082.4321135055063
2.0,1.1273856017838932,6.0,0.0,1.1454871761015841,1.202709249904814,neon,3.0,100.0,1082.4321135055063
2.0,1.1273856017838932,6.5,0.0,1.1454871761015841,1.194004936714233,neon,3.0,100.0,1082.4321135055063
2.0,1.1273856017838932,7.0,0.0,1.1454871761015841,1.1874752462682594,neon,3.0,100.0,1082.4321135055063
2.0,1.1273856017838932,7.5,0.0,1.1454871761015841,1.180864120768445,neon,3.0,100.0,1082.4321135055063
2.0,1.1273856017838932,8.0,0.0,1.1454871761015841,1.174728216605266,neon,3.0,100.0,1082.4321135055063
2.0,1.1273856017838932,8.5,0.0,1.1454871761015841,1.16652530264165,neon,3.0,100.0,1082.4321135055063
52.0,0.12752101471001911,4.5,0.0,1.0251649214689902,1.0197670101541387,neon,3.0,100.0,119.8740357008332
52.0,0.12752101471001911,5.0,0.0,1.0251649214689902,1.0185404702855547,neon,3.0,100.0,119.8740357008332
52.0,0.12752101471001911,5.5,0.0,1.0251649214689902,1.0170802298260526,neon,3.0,100.0,119.8740357008332
52.0,0.12752101471001911,6.0,0.0,1.0251649214689902,1.0159100186484695,neon,3.0,100.0,119.8740357008332
52.0,0.12752101471001911,6.5,0.0,1.0251649214689902,1.0150422236627556,neon,3.0,100.0,119.8740357008332
52.0,0.12752101471001911,7.0,0.0,1.0251649214689902,1.0143846685256948,neon,3.0,100.0,119.8740357008332
52.0,0.12752101471001911,7.5,0.0,1.0251649214689902,1.013736450172279,neon,3.0,100.0,119.8740357008332
