# Provided by Libamtrack ,,,,
# Generated: 15/3/2022 @ 13:0:7,,,,
# Stopping power,,,,
E_MeV_u_x,proton_LET_keV_um,carbon_LET_keV_um,neon_LET_keV_um,iron_LET_keV_um
0.1,0.087892496,0.813133247,1.324670718,2.988400738
0.101721502,0.087731792,0.817201145,1.332837013,3.011134524
0.10347264,0.087556527,0.821172105,1.34087294,3.033665467
0.105253924,0.087366585,0.825042425,1.348772172,3.055979023
0.107065873,0.087161885,0.828808609,1.356528678,3.078061232
0.108909014,0.086942379,0.832467402,1.364136792,3.099898866
0.110783886,0.086708056,0.836015838,1.371591283,3.1214796
0.112691033,0.086458951,0.839451282,1.378887438,3.142792199
0.114631011,0.086195139,0.842771485,1.386021146,3.163826724
0.116604387,0.085916749,0.845974638,1.392988996,3.18457476
0.118611734,0.085623964,0.849059437,1.399788383,3.205029669
0.120653638,0.085317026,0.852025146,1.406417619,3.225186866
0.122730693,0.084996239,0.854871673,1.412876066,3.245044124
0.124843505,0.084661977,0.857599603,1.419164195,3.264601743
0.126992689,0.0843145,0.860208441,1.42528068,3.283855868
0.129178871,0.08395388,0.862695721,1.431220917,3.302795032
0.131402688,0.083580209,0.865059162,1.436980569,3.321408299
0.133664788,0.083193622,0.867296876,1.442555929,3.339686103
0.13596583,0.082794302,0.869407431,1.447944018,3.357620481
0.138306485,0.082382478,0.871389906,1.453142685,3.375205327
0.140687435,0.081958438,0.873243958,1.458150726,3.39243667
0.143109372,0.081522527,0.87496989,1.462968001,3.409312978
0.145573003,0.081075153,0.876568731,1.467595576,3.4258355
0.148079046,0.080616794,0.878042319,1.472035869,3.44200863
0.15062823,0.080147976,0.879393091,1.47629231,3.457839146
0.153221298,0.079669019,0.880621346,1.480364738,3.473325423
0.155859007,0.079180134,0.881726159,1.484250931,3.488460958
0.158542123,0.078681568,0.882707045,1.487949381,3.503240864
0.161271429,0.078173613,0.88356403,1.491459428,3.517662198
0.164047721,0.077656608,0.884297713,1.494781366,3.531724223
0.166871806,0.077130944,0.884909329,1.497916557,3.545428706
0.169744508,0.076597065,0.885400815,1.500867557,3.558780236
0.172666664,0.076055476,0.885774894,1.503638253,3.571786568
0.175639124,0.075506733,0.886035,1.506233763,3.584458423
0.178662756,0.074951312,0.886183798,1.508657908,3.596803485
0.181738439,0.074389656,0.886223632,1.510913979,3.608828203
0.184867071,0.073822256,0.886157544,1.513006472,3.620541943
0.188049561,0.073249658,0.88598937,1.514941252,3.631957393
0.191286839,0.072672466,0.885723808,1.51672569,3.643090936
0.194579846,0.072091347,0.885366503,1.518368818,3.653963056
0.197929543,0.071507035,0.884924137,1.519881494,3.664598772
0.201336904,0.070920269,0.884403696,1.521275156,3.675024685
0.204802924,0.07033143,0.883807915,1.522553979,3.685250001
0.208328611,0.069740759,0.883137864,1.523719289,3.695277072
0.211914993,0.069148509,0.882394846,1.524772814,3.70510923
0.215563114,0.06855495,0.881580418,1.525716724,3.714750895
0.219274038,0.067960363,0.880696406,1.526553664,3.724207662
0.223048846,0.067365047,0.879744922,1.527286787,3.733486401
0.226888637,0.066769302,0.878728209,1.527919486,3.742594607
