# Provided by Libamtrack ,,,,,
# Generated: 15/3/2022 @ 13:4:33,,,,,
# Stopping power,,,,,
E_MeV_u,proton_LET_keV_um,carbon_LET_keV_um,neon_LET_keV_um,argon_LET_keV_um,iron_LET_keV_um
0.1,81.52953386,754.2666061,1228.77141,2051.885718,2772.055983
0.101721502,81.34473522,757.7072003,1235.803703,2065.642457,2791.917662
0.10347264,81.14575128,761.0469468,1242.69596,2079.20501,2811.544411
0.105253924,80.93243091,764.2817784,1249.441196,2092.561413,2830.919977
0.107065873,80.70464862,767.4077669,1256.032614,2105.699968,2850.028428
0.108909014,80.46230722,770.421156,1262.46366,2118.609327,2868.854277
0.110783886,80.20534079,773.318397,1268.728083,2131.278599,2887.382619
0.112691033,79.93371781,776.0961878,1274.820001,2143.697457,2905.599285
0.114631011,79.64744449,778.7515158,1280.733969,2155.856266,2923.491008
0.116604387,79.3465684,781.2817055,1286.465066,2167.746219,2941.045615
0.118611734,79.03118226,783.6844692,1292.008978,2179.359485,2958.252232
0.120653638,78.7014281,785.9579636,1297.362094,2190.689381,2975.101512
0.122730693,78.35750158,788.1008509,1302.521612,2201.730553,2991.58589
0.124843505,77.99965979,790.1123964,1307.485706,2212.479262,3007.699977
0.126992689,77.6283552,791.9938589,1312.255836,2222.937307,3023.445898
0.129178871,77.24430449,793.7492692,1316.838057,2233.114281,3038.836381
0.131402688,76.8483458,795.3840546,1321.240768,2243.023782,3053.889626
0.133664788,76.4414356,796.9050555,1325.474753,2252.68351,3068.629454
0.13596583,76.02465783,798.3206721,1329.55344,2262.115732,3083.085953
0.138306485,75.59923369,799.6410233,1333.493187,2271.347796,3097.296195
0.140687435,75.16653202,800.8781182,1337.313587,2280.412676,3111.305004
0.143109372,74.72808034,802.0460415,1341.037798,2289.34958,3125.165803
0.145573003,74.28557662,803.1611532,1344.692907,2298.204596,3138.941527
0.148079046,73.84090177,804.2423049,1348.310321,2307.031409,3152.705622
0.15062823,73.3959923,805.3095293,1351.92359,2315.887627,3166.537061
0.153221298,72.95152109,806.3694957,1355.543984,2324.792907,3180.463071
0.155859007,72.50734882,807.4200336,1359.167951,2333.741552,3194.476239
0.158542123,72.06329522,808.4584528,1362.791043,2342.726301,3208.566994
