,E_MeV_u,voltage_V,electrode_gap_cm,particle,grid_size_um,numba_parallel_time,numba_time,cython_time
0,10,50,0.01,proton,5,0.30408477783203125,0.004435300827026367,0.00933074951171875
1,10,50,0.01,proton,10,0.051962852478027344,0.0016951560974121094,0.0008094310760498047
2,10,50,0.01,carbon,5,0.005911111831665039,0.016823530197143555,0.04701638221740723
3,10,50,0.01,carbon,10,0.002145528793334961,0.002604246139526367,0.0038299560546875
4,10,300,0.01,proton,5,0.0035059452056884766,0.0045473575592041016,0.009328126907348633
5,10,300,0.01,proton,10,0.0022547245025634766,0.0018396377563476562,0.0008087158203125
6,10,300,0.01,carbon,5,0.0062487125396728516,0.016509294509887695,0.046998023986816406
7,10,300,0.01,carbon,10,0.0023491382598876953,0.002744913101196289,0.0038399696350097656
8,250,50,0.01,proton,5,0.0033004283905029297,0.004400014877319336,0.009328365325927734
9,250,50,0.01,proton,10,0.002094268798828125,0.001684427261352539,0.0008137226104736328
10,250,50,0.01,carbon,5,0.003561735153198242,0.006157398223876953,0.014954328536987305
11,250,50,0.01,carbon,10,0.0021355152130126953,0.0018317699432373047,0.0012469291687011719
12,250,300,0.01,proton,5,0.003501415252685547,0.0045511722564697266,0.009333133697509766
13,250,300,0.01,proton,10,0.0022170543670654297,0.0018360614776611328,0.000812530517578125
14,250,300,0.01,carbon,5,0.31999731063842773,0.006306171417236328,0.014960527420043945
15,250,300,0.01,carbon,10,0.15852999687194824,0.001974821090698242,0.0012564659118652344
